month,day,location,drink,people
January,3,ume,peach oolong milk tea w boba,sophia and mom
January,4,sunright,original milk tea w boba,anthony and james
January,14,luxe,strawberry milk tea w strawberry heart jelly (pink panther),adam lloyd and basil
January,21,yun,hojicha milk tea w boba,oren
January,21,yun,rooibos milk tea w boba (zzz),oren and anthony
January,25,omomo,matcha slushie w creme brulee and boba (omomo matcha),adam lloyd and basil
January,26,tastea,orange raspberry & passion fruit smoothie w peach bits (yummy gummy),anthony
January,29,omomo,mango slush w mango bits (mango tornado),anthony
February,1,camellia rd,earl gray milk tea w boba,oren
February,3,yun,mango smoothie w cream and rice (mango sticky rice),owen justin and tyler
February,4,omomo,strawberry slush w strawberry bits (strawberry tornado),lloyd adam and basil
February,7,tastea,strawberry milk tea w boba and strawberry bits,anthony
February,10,yun,da hong pao oolong milk tea w boba (emperor’s red robe),owen and amanda
February,11,yun,jasmine milk tea w boba (snow jasmine),oren and gabe
February,12,da boba,classic milk tea w pudding,gabe
February,13,happy lemon,mango matcha w mango boba,gabe
February,18,camellia rd,earl gray milk tea w boba,gabe
February,19,teaspoon,banana milk w pudding and honeycomb,anthony and matt
February,20,tastea,jasmine milk tea w boba,anthony
February,21,yun,jasmine milk tea w boba (snow jasmine),gabe
February,24,yun,mango smoothie w cream and rice (mango sticky rice),gabe
February,25,omomo,taro smoothie w mochi (taro taro w mochi),owen and tyler
February,26,tastea,strawberry smoothie w strawberry bits (strawberry sensation),anthony
February,27,yun,jasmine milk tea w boba (snow jasmine),oren
February,29,happy lemon,milk tea w boba,valeria
March,1,happy lemon,milk tea w pudding,valeria
March,2,omomo,blended matcha w boba and crème brûlée (omomo matcha),valeria owen justin and tyler
March,4,tastea,strawberry milk tea w strawberry bits,anthony
March,9,luxe,strawberry milk tea w strawberry jelly (pink panther),eugene lloyd adam and basil
March,10,bengong,matcha smoothie w cheese foam,eugene
March,11,happy lemon,milk tea w pudding,eugene
March,13,better buzz,lavender tea latte,anthony and eugene
March,13,happy lemon,yakult lemon jasmine green tea w boba,eugene
March,14,tastea,orange raspberry & passion fruit smoothie w peach bits (yummy gummy),anthony and arjun
